0,1
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ถนนเปียกลื่น
2022-01-06,ฝนตก
2022-01-06,ฝนตก
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ฝนตก
2022-01-06,ฝนตก
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ฝนตก
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ฝนตก
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ฝนตก
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ฝนตก
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-05,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ฝนตก
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ฝนตก
2022-01-03,ฝนตก
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ฝนตก
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ฝนตก
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ถนนเปียกลื่น
2022-01-06,ถนนเปียกลื่น
2022-01-06,ฝนตก
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ฝนตกลมแรง
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ฝนตก
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-04,ปกติ
2022-01-04,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ฝนตก
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ฝนตก
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-03,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ฝนตก
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ฝนตก
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-02,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ฝนตก
2022-01-01,ฝนตก
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2022-01-01,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-02,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ฝนตก
2020-11-01,ฝนตก
2020-11-01,ฝนตก
2020-11-01,ฝนตก
2020-11-01,ฝนตก
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ปกติ
2020-11-01,ฝนตก
2020-11-01,ฝนตก
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ฝนตก
2022-01-07,ฝนตก
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-07,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ปกติ
2022-01-06,ถนนเปียกลื่น
2022-01-06,ฝนตก
